1h;4h;7h;10h;13h;16h;19h;22h
0.574712644;0;0.459770115;1;0.413793103;0.908045977;0.574712644;0
0.757575758;0.590909091;0.303030303;0.666666667;0.545454545;0.393939394;0;1
0;0;0.253164557;0.094936709;0.455696203;1;0.316455696;0
1;0.156;0.32;0.06;0;0.212;0.1;0.264
0.3125;0.24375;0.5;1;0.7875;0.65625;0.3125;0.1
0;0;0;1;0;0;0;0
0.5;0.39;1;0.29;0.54;0.53;0.25;0.33
0;0.735849057;0.754716981;0.283018868;0.679245283;1;0;0.301886792
0.504108137;0.373442884;1;0.477604029;0.190299496;0.195070236;0.172806785;0.208587331
0;0;0;1;0;0;0;0
0;0;0;0.462025316;0.113924051;1;0;0.101265823
0.809716599;0.473684211;0.566801619;1;0.145748988;0.319838057;0.20242915;0.331983806
1;0;0;0.3;0.36;0.52;0;0
0.277777778;0.216666667;1;0.405555556;0.2;0;0.138888889;0.638888889
0;0.246835443;0.632911392;0.367088608;0.113924051;1;0.316455696;0
0.103630515;0.431525735;1;0.544347426;0.264016544;0.060431985;0.028722426;0.015165441
0.289499037;0.188342967;1;0.62283237;0.21628131;0.139210019;0.241811175;0.181599229
0.543478261;0.282608696;0.507246377;1;0.52173913;0.474637681;0.72826087;0.057971014
0.229357798;0;0.275229358;1;0.330275229;0.963302752;0.114678899;0.302752294
0.416666667;0.65;1;0.483333333;0.15;0.875;0;0.275
0.381679389;0.595419847;0.916030534;1;0.13740458;0.198473282;0.190839695;0.122137405
0;0.246835443;0.506329114;0.367088608;0.683544304;1;0.158227848;0.101265823
0.089445438;0.350626118;1;0.962432916;0.225402504;0.423971377;0.134168157;0.322003578
0.497159091;1;0.595170455;0.495738636;0.230113636;0.522727273;0.177556818;0.629261364
0.214899713;0.785100287;0.428366762;1;0.385386819;0;0.179083095;0.23495702
0.232198142;0;0.77244582;0.450464396;1;0.122291022;0.154798762;0.126934985
0.156494523;0.183098592;1;0.410015649;0.589984351;0;0.27543036;0.103286385
0.20242915;0.157894737;0.48582996;1;0.437246964;0.639676113;0.303643725;0.331983806
0.4;0.312;0.48;0.584;0.144;0;1;0
0.139275766;0.437325905;1;0.04178273;0.200557103;0.072423398;0.069637883;0.136490251
0.684931507;0.534246575;0.547945205;1;0;0.356164384;0;0
0.346249654;0.46581788;1;0.124550235;0.168834763;0.1237199;0.180459452;0.181566565
0;0.397959184;0.612244898;0.448979592;0;0;0;1
0;0;1;0.659090909;0.163636364;0.118181818;0;0
0;0;0;1;0.246575342;0;0;0.219178082
0.478089888;0.373595506;0.594382022;1;0.423595506;0.915449438;0.176123596;0.331460674
0;0;1;0.75;0.9;0;0;0
0.3125;0.24375;1;0.09375;0.5625;0;0.15625;0
0;0;0.754716981;0.830188679;0;1;0;0
0.383631714;1;0.713554987;0.37084399;0.230179028;0.202046036;0.191815857;0.294117647
1;0;0;0.58;0;0;0;0
0;0.260869565;1;0.193979933;0.060200669;0.351170569;0;0
1;0;0;0.3;0;0;0;0
0.083892617;0.32885906;0.870805369;1;0.993288591;0.926174497;0.463087248;0.275167785
0.472334683;0.317139001;0.889338731;1;0.63022942;0.851551957;0.473684211;0.310391363
0.159744409;1;0.891373802;0;0;0;0.079872204;0.156549521
0.923550088;0.722319859;1;0.689806678;0.158172232;0.577328647;0.22056239;0.633567663
0;0;0;1;0;0;0.862068966;0
0.471318493;0.368578767;1;0.460188356;0.299657534;0.258561644;0.279109589;0.301797945
0.08605852;0.337349398;0.378657487;1;0.309810671;0.678141136;0.388984509;0.309810671
1;0.39;0.8;0;0;0.26;0.25;0
1;0.78;0.8;0.293333333;0.12;0.7;0.166666667;0
1;0;0.133333333;0.193333333;0.12;0.173333333;0.333333333;0
0.625;0.975;1;0.9125;0;0;0.3125;0.2
0;0;0.37037037;0;1;0;0;0
0.398406375;0.780876494;0.478087649;0.290836653;0.573705179;0.521912351;1;0
0.659630607;0.414248021;1;0.957783641;0.37994723;0.277044855;0.329815303;0.345646438
